Data Series,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan 
      Cakes & Pastries,100.9,101.163,100.94,100.955,101.03,100.911,101.182,101.226,99.405,99.402,98.982,98.976,98.544,98.449,96.528,96.69,96.72,95.845,95.787,94.959,94.773,94.725,94.746,94.806,94.68,94.482,91.764,91.831,91.599,89.861,89.659,89.611,88.504,88.257,88.662,87.089,86.922,86.943,86.155,85.971,86.066,85.669,85.85,85.839,85.432,85.194,85.084,85.297,85.159,85.036,84.72,84.829,84.929,84.616,84.74,84.922,84.681,84.069,83.908,83.646,83.486,83.099,82.62,82.798,82.569,83.133,82.496,82.548,81.875,81.759,82.194,81.775,82,81.803,81.257,81.309,81.977,81.941,81.462,81.306,81.19,80.982,80.321,80.144,80.366,79.957,79.79,80.283,80.093,79.18,79.36,79.296,79.145,79.457,79.157,78.835,78.896,78.841
      Breakfast Cereals,97.14,98.888,100.35,99.733,99.677,99.599,100.69,101.171,101.576,100.382,100.634,101.092,98.603,96.492,98.85,97.874,97.816,97.535,97.598,98.338,99.189,98.891,91.915,89.793,90.647,91.252,89.672,88.257,88.188,87.722,88.932,84.093,83.709,83.256,82.174,83.68,83.523,83.478,84.688,85.901,84.545,84.436,85.235,85.301,81.823,81.151,81.532,82.728,83.432,83.996,83.534,83.86,84.071,82.054,83.497,83.428,81.685,82.717,81.51,82.883,83.455,81.867,80.824,82.218,82.617,82.463,81.606,82.354,79.606,79.395,81.075,81.03,82.98,79.424,83.229,82.806,81.824,80.717,79.982,80.423,79.968,79.357,79.585,80.235,81.507,80.15,80.072,81.417,80.355,81.539,79.285,80.684,78.395,81.454,82.422,82.371,84.871,84.111
      Other Cereal Products Nec,103.135,99.08,99.401,100.139,97.602,95.538,99.233,100.731,104.535,101.384,100.821,100.852,99.647,100.118,101.895,100.346,92.566,91.406,91.709,92.527,93.445,92.852,90.762,87.092,87.441,89.131,89.03,89.076,85.242,84.659,83.969,84.322,84.153,83.728,83.674,85.854,86.798,86.221,86.11,84.767,85.854,85.732,83.66,84.056,85.471,84.135,83.667,83.467,83.212,82.647,83.099,83.088,82.662,83.605,81.057,82.647,83.422,85.275,81.9,82.38,84.336,82.918,80.689,83.23,78.76,80.765,81.76,80.442,82.456,78.084,81.899,81.729,82.546,81.548,80.507,80.905,80.204,80.148,80.618,80.303,78.887,79.233,80.058,78.495,79.227,78.898,79.603,79.928,78.972,78.825,78.961,80.21,79.003,79.642,79.953,78.937,79.771,78.843
    Meat,99.823,99.916,99.252,99.854,100.424,100.689,100.636,99.552,99.61,99.696,99.678,100.229,100.339,100.043,100.496,100.718,99.992,100.002,99.684,100.385,100.468,100.653,99.708,99.063,98.873,100.014,99.379,99.377,98.734,98.012,96.726,95.152,94.276,91.115,89.946,88.283,87.934,87.057,86.636,86.308,85.626,86.044,85.57,86.09,85.589,85.081,85.022,85.217,85.297,85.042,84.749,84.972,84.688,85.784,85.965,86.514,87.127,87.411,86.458,84.58,83.558,82.912,81.701,81.412,81.47,81.074,81.108,80.64,80.363,80.007,80.506,80.839,80.878,80.502,80.939,80.774,80.85,80.734,80.345,81.2,80.82,80.594,80.895,80.234,81.18,81.004,81.561,81.064,81.132,80.787,81.005,80.672,80.425,80.547,80.71,80.562,80.905,80.872
"      Pork, Chilled Or Frozen",100.584,100.509,99.303,99.619,100.475,99.746,100.267,98.956,99.1,99.529,99.874,100.565,101.393,101.175,102.59,102.426,101.506,101.751,102.258,101.628,102.254,101.416,97.698,97.737,97.286,97.576,96.866,96.815,95.778,96.202,95.569,95.053,95.781,92.932,93.537,94.809,94.943,94.426,94.111,93.617,94.65,94.036,93.43,93.896,93.48,93.441,93.53,92.7,92.782,92.795,92.217,92.847,92.074,95.448,96.084,95.59,96.893,97.284,95.548,93.08,90.948,90.699,87.937,86.258,86.73,86.266,86.568,85.796,86.479,86.089,86.194,86.67,86.971,86.588,86.896,86.446,86.899,87.013,86.508,87.172,87.34,86.619,86.859,86.682,87.871,87.162,87.258,86.984,86.725,87.037,86.963,86.796,86.627,86.398,86.421,86.703,87.409,87.567
"      Beef, Chilled Or Frozen",101.35,101.081,99.543,100.557,102.273,105.149,102.656,100.652,99.513,96.091,97.907,99.116,99.477,97.066,99.993,100.275,97.431,97.874,95.395,97.666,98.436,98.912,98.287,93.298,92.777,96.956,97.992,97.776,96.111,98.086,95.113,93.386,91.334,96.943,95.2,93.234,93.335,92.727,92.391,92.096,89.334,90.958,91.221,90.482,89.937,89.393,90.313,89.887,90.189,87.547,86.355,86.731,85.47,84.934,85.504,87.753,86.698,88.097,87.846,86.794,87.335,86.601,85.323,84.511,84.587,84.302,83.8,83.61,82.971,82.435,83.49,82.568,83.925,83.435,82.616,82.355,81.724,81.18,80.194,84.873,84.633,84.947,84.946,83.488,84.738,85.919,85.995,84.552,84.923,83.719,84.382,83.563,83.321,84.421,84.329,83.195,83.673,84.209
"      Mutton, Chilled Or Frozen",100.653,94.942,98.605,100.507,95.066,104.193,101.155,94.904,99.951,99.961,99.125,101.857,102.557,102.121,103.489,104.262,102.807,104.055,99.05,95.039,95.017,102.475,104.078,95.869,99.821,101.9,92.673,101.212,100.249,103.385,95.869,95.944,91.86,93.773,89.764,91.197,87.231,88.476,87.203,87.16,80.819,86.457,88.531,88.088,84.628,76.696,73.854,82.775,80.391,83.218,82.962,81.566,83.778,83.778,83.778,86.635,85.119,85.97,85.97,85.97,84.013,82.758,80.154,80.486,79.822,79.158,77.018,76.169,74.97,73.377,74.71,75.566,76.374,71.269,75.585,76.261,76.281,74.503,73.642,73.637,73.414,73.473,73.395,73.104,71.072,72.243,72.178,72.315,72.227,72.254,72.166,72.364,70.788,71.508,71.427,71.555,71.392,71.369
"      Poultry, Chilled Or Frozen",98.683,99.191,98.796,99.649,100.365,99.838,100.489,100.106,99.845,100.68,100.204,100.121,99.715,100.194,99.371,100.726,99.459,99.836,99.968,101.461,101.35,101.852,102.752,103.421,103.24,103.84,104.329,104.055,103.796,100.598,99.712,96.655,94.9,87.31,84.334,78.295,78.037,76.192,75.555,75.243,73.916,73.924,73.745,74.424,74.13,74.032,74.202,74.663,74.881,74.318,74.463,74.481,74.813,74.613,74.068,74.517,74.873,75.024,74.739,74.02,73.733,73.459,73.329,73.656,73.541,73.386,73.61,73.036,71.932,71.812,72.791,72.969,72.962,72.886,73.328,73.16,73.163,73.216,73.009,73.443,72.541,72.597,72.7,71.873,73.118,73.101,74.44,73.558,73.892,73.618,74.282,73.576,73.227,73.477,73.323,73.403,73.623,73.566
"      Meat, Preserved Or Prepared",99.157,100.092,99.926,100.085,99.964,100.251,100.045,99.681,100.215,100.838,99.706,100.311,99.65,99.331,98.284,96.857,98.837,97.166,96.572,98.514,97.614,97.316,97.3,96.74,96.261,98.298,96.683,95.478,95.436,95.116,94.089,93.116,92.248,91.498,91.439,92.235,91.373,91.091,91.042,90.921,90.595,91.986,90.218,91.405,91.024,90.519,89.849,89.822,90.072,90.45,90.301,90.438,89.814,90.201,90.785,92.114,93.27,92.899,91.547,87.651,86.706,84.751,84.731,86.025,85.781,85.047,84.967,85.229,85.141,84.768,84.59,85.491,84.254,84.442,84.792,84.989,84.846,84.519,84.323,84.946,84.484,84.332,85.271,84.328,84.785,84.449,84.7,84.75,84.804,83.493,83.303,83.435,83.486,83.486,84.585,83.635,83.633,83.107
    Fish & Other Seafood,99.648,103.483,99.85,97.837,98.247,99.471,98.941,99.301,99.703,100.409,98.639,100.995,103.851,102.757,101.469,102.317,102.18,102.709,103.833,103.85,104.096,105.783,104.739,105.286,103.517,106.087,98.405,97.367,98.145,98.748,99,99.847,100.398,100.485,97.605,97.133,95.431,100.686,94.947,94.484,93.406,93.557,93.889,92.713,92.619,93.642,92.422,92.288,96.355,94.459,92.891,92.983,92.912,93.896,93.468,92.372,92.179,91.512,92.636,91.736,94.002,98.652,92.916,91.407,92.764,92.204,92.713,92.352,92.317,91.376,90.65,91.297,93.402,94.854,90.791,90.179,90.58,90.883,91.012,92.304,91.005,89.721,89.524,89.779,95.316,92.366,89.089,88.061,88.271,88.697,88.777,89.746,87.918,88.147,87.865,87.289,88.87,93.097
